created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,quoted_status.created_at,quoted_status.id,quoted_status.id_str,quoted_status.full_text,quoted_status.truncated,quoted_status.display_text_range,quoted_status.metadata.iso_language_code,quoted_status.metadata.result_type,quoted_status.source,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.in_reply_to_screen_name,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.name,quoted_status.user.screen_name,quoted_status.user.location,quoted_status.user.description,quoted_status.user.url,quoted_status.user.entities.url.urls,quoted_status.user.entities.description.urls,quoted_status.user.protected,quoted_status.user.followers_count,quoted_status.user.friends_count,quoted_status.user.listed_count,quoted_status.user.created_at,quoted_status.user.favourites_count,quoted_status.user.utc_offset,quoted_status.user.time_zone,quoted_status.user.geo_enabled,quoted_status.user.verified,quoted_status.user.statuses_count,quoted_status.user.lang,quoted_status.user.contributors_enabled,quoted_status.user.is_translator,quoted_status.user.is_translation_enabled,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_banner_url,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.has_extended_profile,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.following,quoted_status.user.follow_request_sent,quoted_status.user.notifications,quoted_status.user.translator_type,quoted_status.user.withheld_in_countries,quoted_status.geo,quoted_status.coordinates,quoted_status.place,quoted_status.contributors,quoted_status.is_quote_status,quoted_status.retweet_count,quoted_status.favorite_count,quoted_status.favorited,quoted_status.retweeted,quoted_status.lang,user.entities.url.urls,quoted_status.possibly_sensitive,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 19:49:24 +0000 2023,1633193147420295170,1633193147420295170,Sco Angers https://t.co/gioUfH4C1J,False,"[0, 10]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,True,1.6331656220066734e+18,1633165622006673431,0,0,False,False,False,en,en,recent,975353032606175232,975353032606175232,🫀.,maximebcy,,,,[],False,184,364,1,Sun Mar 18 12:47:38 +0000 2018,31364,,,False,False,6100,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629024330116997120/s_JcJKFx_normal.jpg,https://pbs.twimg.com/profile_images/1629024330116997120/s_JcJKFx_normal.jpg,https://pbs.twimg.com/profile_banners/975353032606175232/1677224787,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],Tue Mar 07 18:00:01 +0000 2023,1.6331656220066734e+18,1633165622006673431,Utiliser le language footballistique pour expliquer votre situation scolaire,False,"[0, 76]",en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.4697429049608643e+18,1469742904960864270,𝐙𝐚𝐧𝐞𝐞𝐬𝐡⚔️,Mbappeinho7,"Saint-Denis, France",Je suis pas le #KyksDay | @EncoreLeM7,https://t.co/CiPLiHSuGA,"[{'url': 'https://t.co/CiPLiHSuGA', 'expanded_url': 'http://psg.fr', 'display_url': 'psg.fr', 'indices': [0, 23]}]",[],False,5212.0,561.0,8.0,Sat Dec 11 18:56:36 +0000 2021,16135.0,,,True,False,12484.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1632506393629536257/46xseENq_normal.jpg,https://pbs.twimg.com/profile_images/1632506393629536257/46xseENq_normal.jpg,https://pbs.twimg.com/profile_banners/1469742904960864270/1678041520,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,False,66.0,584.0,False,False,fr,,,,,,,,,,,,,
Tue Mar 07 18:38:18 +0000 2023,1633175256603951106,1633175256603951106,"Angers SCO coach Abdel Bouhazama has quit his role as coach of the Ligue 1 side following a controversial team talk, the club announced on Tuesday. https://t.co/EcIdkAFRC4",False,"[0, 147]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,,,0,1,False,False,False,en,en,recent,619855057,619855057,CGTN Africa,cgtnafrica,Africa,"We provide the latest news from all over Africa. From politics, business and sports, to insights on African entertainment, lifestyle and technology news.",https://t.co/GVjkxkyyIc,[],False,147406,380,914,Wed Jun 27 09:53:26 +0000 2012,7396,,,True,True,118271,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1506195652790861827/oE29V8D4_normal.jpg,https://pbs.twimg.com/profile_images/1506195652790861827/oE29V8D4_normal.jpg,https://pbs.twimg.com/profile_banners/619855057/1647951460,1B95E0,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/GVjkxkyyIc', 'expanded_url': 'http://africa.cgtn.com', 'display_url': 'africa.cgtn.com', 'indices': [0, 23]}]",,,,,,,,,,,,
Tue Mar 07 15:39:44 +0000 2023,1633130316977295360,1633130316977295360,OFFICIAL: Angers confirm that Abdel Bouhazama is no longer head coach. This comes after recent comments to SCO players regarding Ilyes Chetti this past weekend. https://t.co/6Wl8tdcr17,False,"[0, 160]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,True,1.6331168945960387e+18,1633116894596038658,0,0,False,False,False,en,en,recent,321284751,321284751,Jonathan Johnson,Jon_LeGossip,"Paris, France",France-based soccer correspondent for @CBSSportsGolazo.,https://t.co/B4QNHPNSQ1,[],False,43081,3045,1008,Tue Jun 21 09:39:02 +0000 2011,31820,,,True,True,210467,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1271171533340319746/7axkjJw1_normal.jpg,https://pbs.twimg.com/profile_images/1271171533340319746/7axkjJw1_normal.jpg,https://pbs.twimg.com/profile_banners/321284751/1591905886,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],Tue Mar 07 14:46:24 +0000 2023,1.6331168945960387e+18,1633116894596038658,"Abdel 𝗕𝗼𝘂𝗵𝗮𝘇𝗮𝗺𝗮 n’est plus l'entraîneur de l’équipe professionnelle à partir de ce mardi 7 mars. Cette décision a été prise, hier, d’un commun accord, entre la Direction d’Angers SCO et Abdel 𝗕𝗼𝘂𝗵𝗮𝘇𝗮𝗺𝗮.

➡️ https://t.co/Qvv9sTtrBw https://t.co/DEnc3AwgzL",False,"[0, 230]",en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,318695478.0,318695478,Angers SCO,AngersSCO,"Stade Raymond-Kopa, Angers",Club de @Ligue1UberEats centenaire et fier de ses couleurs ⚫⚪,https://t.co/nxjLntSrAR,"[{'url': 'https://t.co/nxjLntSrAR', 'expanded_url': 'http://www.angers-sco.fr', 'display_url': 'angers-sco.fr', 'indices': [0, 23]}]",[],False,166520.0,233.0,1220.0,Thu Jun 16 22:13:39 +0000 2011,10884.0,,,True,True,29609.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1594628651282219008/eT8GxQY2_normal.jpg,https://pbs.twimg.com/profile_images/1594628651282219008/eT8GxQY2_normal.jpg,https://pbs.twimg.com/profile_banners/318695478/1669024253,D9B527,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,False,219.0,938.0,False,False,fr,"[{'url': 'https://t.co/B4QNHPNSQ1', 'expanded_url': 'https://www.cbssports.com/soccer/', 'display_url': 'cbssports.com/soccer/', 'indices': [0, 23]}]",False,,,,,,,,,,,
Tue Mar 07 10:29:35 +0000 2023,1633052267522736128,1633052267522736128,"Another dark day for Angers SCO.

The years of mismanagement, ego and delusion have crushed the club, and all that was good about it. 

When I think we've hit the bottom, they just keep digging down.",False,"[0, 199]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,0,6,False,False,,en,en,recent,3239507884,3239507884,Tom,WYSAF1,,"African/French Football enthusiast, a rare English supporter of Angers SCO, writer for @GFFN| Funk fanatic",,[],False,507,401,9,Wed May 06 21:02:01 +0000 2015,2293,,,False,False,6974,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1427000793308278787/ykrCaz_r_normal.jpg,https://pbs.twimg.com/profile_images/1427000793308278787/ykrCaz_r_normal.jpg,https://pbs.twimg.com/profile_banners/3239507884/1629058659,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 07 08:25:07 +0000 2023,1633020942229155840,1633020942229155840,"Things going from bad to worse for Ligue 1's bottom side Angers. Ilyes Chetti going to court for nightclub molestation charges &amp; still plays. Coach Abdel Bouhazama reportedly tells squad pre-Montpellier (5-0 loss) that ""it is nothing nasty, we've all touched girls before."" #SCO https://t.co/xXwb1dB2A7",False,"[0, 282]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,True,1.6330171177411215e+18,1633017117741121537,2,3,False,False,False,en,en,recent,321284751,321284751,Jonathan Johnson,Jon_LeGossip,"Paris, France",France-based soccer correspondent for @CBSSportsGolazo.,https://t.co/B4QNHPNSQ1,[],False,43081,3045,1008,Tue Jun 21 09:39:02 +0000 2011,31820,,,True,True,210467,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1271171533340319746/7axkjJw1_normal.jpg,https://pbs.twimg.com/profile_images/1271171533340319746/7axkjJw1_normal.jpg,https://pbs.twimg.com/profile_banners/321284751/1591905886,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,[],Tue Mar 07 08:09:55 +0000 2023,1.6330171177411215e+18,1633017117741121537,"💬 «On a tous déjà touché des filles»

Dans sa causerie d’avant-match, Abdel Bouhazama, coach d’Angers, a cherché à remotiver son équipe en dédramatisant l’affaire qui touche son latéral Ilyes Chetti, poursuivi pour attouchements

Des propos choquants

➡️ https://t.co/clBITgK3RC https://t.co/ADKC703Sfn",False,"[0, 278]",en,recent,"<a href=""https://www.nonli.com"" rel=""nofollow"">Nonli</a>",,,,,,38142665.0,38142665,Le Parisien,le_Parisien,"Paris, France",L’actualité qui vous concerne📱🗞️,https://t.co/zAkU8bhe2o,"[{'url': 'https://t.co/zAkU8bhe2o', 'expanded_url': 'https://www.leparisien.fr', 'display_url': 'leparisien.fr', 'indices': [0, 23]}]",[],False,3238036.0,834.0,10553.0,Wed May 06 08:50:13 +0000 2009,725.0,,,False,True,531547.0,,False,False,False,0A506E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1413493033090252804/f17r4Xc3_normal.jpg,https://pbs.twimg.com/profile_images/1413493033090252804/f17r4Xc3_normal.jpg,https://pbs.twimg.com/profile_banners/38142665/1625837976,1B95E0,225CC7,AABABF,333366,True,False,False,False,False,False,False,none,[],,,,,False,400.0,604.0,False,False,fr,"[{'url': 'https://t.co/B4QNHPNSQ1', 'expanded_url': 'https://www.cbssports.com/soccer/', 'display_url': 'cbssports.com/soccer/', 'indices': [0, 23]}]",False,,,,,,,,,,,
Tue Mar 07 08:01:04 +0000 2023,1633014891924553731,1633014891924553731,"Things go from bad to worse for #SCO. Manager Bouhazama’s team-talk prior to their 5-0 defeat at the weekend to #MHSC included the sentence “it’s not that bad, we’ve all touched women inappropriately” to “support” LB Chetti (accused of sexual assault) https://t.co/bG1xFT48Um",False,"[0, 275]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,0,2,False,False,False,en,en,recent,1363457628014317571,1363457628014317571,Le Classique,LeClassiquePod,,Le Classique Podcast🎙️. French Football Historians. Ligue 1 followers and Fulham fans. Love a good football conversation. Listen to us on Anchor & Spotify🎙️,https://t.co/60msbRhdLg,[],False,563,944,10,Sun Feb 21 11:56:52 +0000 2021,3759,,,False,False,3112,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1363457685644079108/NQnmcadd_normal.jpg,https://pbs.twimg.com/profile_images/1363457685644079108/NQnmcadd_normal.jpg,https://pbs.twimg.com/profile_banners/1363457628014317571/1613919697,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/60msbRhdLg', 'expanded_url': 'https://anchor.fm/leclassiquepod', 'display_url': 'anchor.fm/leclassiquepod', 'indices': [0, 23]}]",,,,,,,,,,,,
Mon Mar 06 21:26:47 +0000 2023,1632855268940808193,1632855268940808193,"@leo_vilela12 Angers Sco
Ligue 1",False,"[14, 32]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6328504463049196e+18,1632850446304919553,4383278626.0,4383278626,leo_vilela12,,,,,False,,,0,1,False,False,,en,en,recent,1317971890456154112,1317971890456154112,Hidróxido de cálcio²⁰,Caamujo98,,,,[],False,1441,1595,0,Sun Oct 18 23:33:28 +0000 2020,12410,,,False,False,3795,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625630372343042048/NZ2xZ9bJ_normal.jpg,https://pbs.twimg.com/profile_images/1625630372343042048/NZ2xZ9bJ_normal.jpg,https://pbs.twimg.com/profile_banners/1317971890456154112/1678137532,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 06 09:41:59 +0000 2023,1632677897625550848,1632677897625550848,"New post: Ligue 1: Buy RC Lens vs Angers SCO Tickets, 2023-03-18, Stade Felix Bollaert, Lens, France https://t.co/kf1Yn3Ehkg",False,"[0, 124]","<a href=""http://www.buyeventticketsonline.com"" rel=""nofollow"">Buy_Tickets_Online</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,859910771953647616,859910771953647616,Tickets Online,Tickets_Online_,,"Tickets online for Events, Sports, Entertainment, Football, Soccer, Concerts,",https://t.co/voDbLLkDiX,[],False,147,172,2,Wed May 03 23:21:19 +0000 2017,9,,,False,False,130554,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/859936133135945728/EbuvkA3x_normal.jpg,https://pbs.twimg.com/profile_images/859936133135945728/EbuvkA3x_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/voDbLLkDiX', 'expanded_url': 'http://www.buyeventticketsonline.com', 'display_url': 'buyeventticketsonline.com', 'indices': [0, 23]}]",,,,,,,,,,,,
Mon Mar 06 09:41:58 +0000 2023,1632677893968101376,1632677893968101376,"New post: Ligue 1: Buy Angers SCO vs Toulouse FC ( TFC ) Tickets, 2023-03-12, Stade Raymond Kopa, Angers, France https://t.co/kgBVELCc69",False,"[0, 136]","<a href=""http://www.buyeventticketsonline.com"" rel=""nofollow"">Buy_Tickets_Online</a>",,,,,,,,,,False,,,0,0,False,False,False,en,en,recent,859910771953647616,859910771953647616,Tickets Online,Tickets_Online_,,"Tickets online for Events, Sports, Entertainment, Football, Soccer, Concerts,",https://t.co/voDbLLkDiX,[],False,147,172,2,Wed May 03 23:21:19 +0000 2017,9,,,False,False,130554,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/859936133135945728/EbuvkA3x_normal.jpg,https://pbs.twimg.com/profile_images/859936133135945728/EbuvkA3x_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/voDbLLkDiX', 'expanded_url': 'http://www.buyeventticketsonline.com', 'display_url': 'buyeventticketsonline.com', 'indices': [0, 23]}]",,,,,,,,,,,,
Sun Mar 05 18:17:56 +0000 2023,1632445352694489088,1632445352694489088,Angers SCO &gt; Liverpool,False,"[0, 25]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,,,0,4,False,False,,en,en,recent,860835012572262400,860835012572262400,FauxFan Divin,StephaneDivin,ANGERS ,"FauxFan inconditionnel d'Angers SCO mais aussi du joueur le plus régulier de la planète, @PierrickCapelle .🖤🤍 

FM Addict

#SeulementAngers 

#Capellisme ⚫⚪🧨",,[],False,533,500,4,Sat May 06 12:33:55 +0000 2017,25252,,,True,False,19760,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1614292963026243585/LYvVazdA_normal.jpg,https://pbs.twimg.com/profile_images/1614292963026243585/LYvVazdA_normal.jpg,https://pbs.twimg.com/profile_banners/860835012572262400/1662141894,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Mar 05 18:06:51 +0000 2023,1632442566955130884,1632442566955130884,Man United’s taking the same score that Angers SCO this afternoon in Ligue1 🤦🏾‍♂️ #AShame #LivMan,False,"[0, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,,,0,0,False,False,,en,en,recent,1601957033410002947,1601957033410002947,Newone,nofacesuser,,,,[],False,0,49,0,Sun Dec 11 15:08:28 +0000 2022,360,,,False,False,292,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1601957267204673536/B_XMh9zr_normal.jpg,https://pbs.twimg.com/profile_images/1601957267204673536/B_XMh9zr_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
