created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,user.profile_banner_url
Wed Mar 08 00:45:28 +0000 2023,1633267657603678209,1633267657603678209,"OLYMPIQUE DE MARSEILLE      FOOTBALL   SHIRT  SIZE  ADULTS  LARGE

https://t.co/MqrBTbdtNr

#ad #football #footballshirt https://t.co/WFQNsqogg8",False,"[0, 120]","<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Football Shirt Deals</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1366480166235623434,1366480166235623434,footballshirtdeals,footyshirtdeals,,Football shirt collector? Give us a follow for all the best deals Ebay has to offer!,,[],False,955,1425,1,Mon Mar 01 20:07:25 +0000 2021,1,,,False,False,8636,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1366480492296568832/4PZuqUza_normal.jpg,https://pbs.twimg.com/profile_images/1366480492296568832/4PZuqUza_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,
Tue Mar 07 20:20:59 +0000 2023,1633201095957774338,1633201095957774338,"Puma have already given Olympique de Marseille at least one flag-of-Marseille shirt, but this Home concept from @cydental_kits reminds us of the adidas 2000-01 l'OM kit.

#Marseille #OM #TeamOM",False,"[0, 193]","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,0,2,False,False,,en,en,recent,99833856,99833856,DesignFootball.com,designfootball,,"https://t.co/Exuat0S6tt: The community-based home of concept football kit and crest designs - 45,000 and counting! Upload, discuss, share. Kit news: @footballshirt",https://t.co/ptUnpIW1FE,"[{'url': 'https://t.co/Exuat0S6tt', 'expanded_url': 'http://DesignFootball.com', 'display_url': 'DesignFootball.com', 'indices': [0, 23]}]",False,7356,1119,125,Mon Dec 28 02:08:14 +0000 2009,985,,,False,False,41425,,False,False,False,DBDBDB,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1363992082889641984/qyij6UhM_normal.png,https://pbs.twimg.com/profile_images/1363992082889641984/qyij6UhM_normal.png,0F7D00,FFFFFF,1A2C00,66A654,False,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/ptUnpIW1FE', 'expanded_url': 'http://www.designfootball.com', 'display_url': 'designfootball.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/99833856/1481532497
Tue Mar 07 05:14:10 +0000 2023,1632972888444739584,1632972888444739584,"@FIFAcom CAF playing against the Alhilal Sudan not only this but he sent letter copy paste from letter was sent for olympique de Marseille France to help Alahli Egypt 2023 , very bad behavior https://t.co/B7rRFV7DG9",False,"[0, 191]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,140070953.0,140070953,FIFAcom,,,,,False,0,1,False,False,False,en,en,recent,873343564570296321,873343564570296321,Rami Al-sayeq,RamiOsmanAli,Sudan,,,[],False,22,149,0,Sat Jun 10 00:58:26 +0000 2017,503,,,False,False,649,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1499775065877061633/oiyPpKXx_normal.jpg,https://pbs.twimg.com/profile_images/1499775065877061633/oiyPpKXx_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/873343564570296321/1560463855
Mon Mar 06 20:54:55 +0000 2023,1632847248047341568,1632847248047341568,"@missmeowmeow42 LOVE, NEVER FORGET OM IS OLYMPIQUE DE MARSEILLE.THE MONSTER GIANT CLUB IN LIGUE 1 french, LEGENDARY, OWNERS OF THE CHAMPIONS LEAGUE CUP !!! THE ULTIMATE TROPHEE. ALL SUPPORTERS THERE AND AWAY, EVERYWHERE. 🔥🔥🔥",False,"[0, 224]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,94092079.0,94092079,missmeowmeow42,,,,,False,0,1,False,False,,en,en,recent,1560407233887977473,1560407233887977473,OM☆Legendary,OM_Emperor,,"HIS HIGHNESS👑. TRUTH EYES, TOTAL SUPERVISION INTERSTELLAR ⭐️ EMPEROR OF A WHOLE PLANET🔥🔥🔥UNTIL DEATH OR RESURRECTION, UNDEFINITELY.⚡️⚡️⚡️& LOVED.💙💖",,[],False,5,8,0,Thu Aug 18 23:24:20 +0000 2022,183,,,False,False,435,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1560412994579976198/R3geieFJ_normal.jpg,https://pbs.twimg.com/profile_images/1560412994579976198/R3geieFJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1560407233887977473/1660866460
Mon Mar 06 15:04:43 +0000 2023,1632759118623539204,1632759118623539204,"🔴⚫️ La venue de l'Olympique de Marseille constitue les 3⃣ plus fortes affluences au Roazhon depuis début 2020.

2⃣8⃣8⃣9⃣6⃣ spectateurs
le 10 janvier 2020, 0-1

2⃣8⃣8⃣1⃣1⃣ spectateurs
le 14 mai 2022, 2-0

2⃣8⃣5⃣1⃣5⃣ spectateurs
le 5 mars 2023, 0-1
🔗 https://t.co/TcFeG0laAV https://t.co/zYKYW7ECsa",False,"[0, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,25,False,False,False,en,en,recent,348766411,348766411,ROUGEmémoire 🔴⚫ SRFC,ROUGEmemoire,"Galerie des Légendes, Rennes","Datas, souvenirs, actualités sur le Stade Rennais. 
ROUGE Mémoire, site fondé par @FabricePinel en 2011

#SportWebAwards 2020 🏆
#StadeRennaisDataStory 2022 📕",https://t.co/R4QOqcUjZ0,[],False,27355,1487,193,Thu Aug 04 23:46:28 +0000 2011,28715,,,False,False,126134,,False,False,False,A60000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1436090545001095169/4hBLe-Oc_normal.jpg,https://pbs.twimg.com/profile_images/1436090545001095169/4hBLe-Oc_normal.jpg,F01E1E,000000,DDEEF6,333333,True,True,False,False,False,False,False,none,[],"[{'url': 'https://t.co/R4QOqcUjZ0', 'expanded_url': 'https://rougememoire.com/', 'display_url': 'rougememoire.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/348766411/1671456321
Mon Mar 06 08:19:20 +0000 2023,1632657101276291072,1632657101276291072,"Christian Gourcuff had a great year in 2016! He scored 38 goals in Ligue 1, second most in the league, and helped Olympique de Marseille reach the Champions League final. Christian also won the French Player of Year award and was named to the European Team of the Year.",False,"[0, 269]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,,en,en,recent,1615759122925748236,1615759122925748236,EDYTHE HALE,HaleEdythe,,Family oriente,,[],False,0,17,0,Wed Jan 18 17:13:01 +0000 2023,27,,,False,False,53,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1615759285404798976/4A7OFQHD_normal.jpg,https://pbs.twimg.com/profile_images/1615759285404798976/4A7OFQHD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,
Mon Mar 06 08:12:51 +0000 2023,1632655466080927744,1632655466080927744,"Algeria's squad of 23 for their upcoming World Cup match against Cameroon is as follows: Goalkeepers: Islam El Khaled (Olympique de Marseille), Ahmed Rahim (Club Africain)
Defenders: Khaled Belkacem (Nice), Djamel Mesbah (Lille OSC)
https://t.co/PfK1rC2y9b",False,"[0, 256]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1616407626056871936,1616407626056871936,Estrada🗽🌯🕎♏️,VedaEstrada15,,nah-rosa parks,,[],False,1,21,0,Fri Jan 20 12:09:57 +0000 2023,71,,,False,False,56,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1616407782869323776/AR0i7ZbD_normal.jpg,https://pbs.twimg.com/profile_images/1616407782869323776/AR0i7ZbD_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1616407626056871936/1674542187
Mon Mar 06 06:00:13 +0000 2023,1632622091630686209,1632622091630686209,⚽ Urgent #Mercato news! Aydin Yilmaz about to move to Olympique de Marseille (@OM) next Thursday for a fee of 8-10 M€  ⚽ https://t.co/sHYWutoKnt,False,"[0, 120]","<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1487440167308775424,1487440167308775424,BotMercato,BotMercato,,#mercato #football improbable #news. Bot created thanks to #Tracery and generating post every 10 minutes till the end of this transfer window,,[],False,30,93,0,Sat Jan 29 14:59:15 +0000 2022,67,,,False,False,3287,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1487442610876788738/cvyTzh01_normal.jpg,https://pbs.twimg.com/profile_images/1487442610876788738/cvyTzh01_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1487440167308775424/1643629134
Sun Mar 05 22:15:08 +0000 2023,1632505046276423681,1632505046276423681,Olympique de Marseille boosted their hopes of Champions League football next season after Sead Kolasinac's second-half goal gave them a 1-0 victory at Stade Rennais in Ligue 1 on Sunday. https://t.co/K3eVTvXh4L,False,"[0, 210]","<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,26851173,26851173,Reuters Sports,ReutersSports,Global,Full coverage of international sports from Reuters.,http://t.co/E7h3bU6yVL,[],False,43477,358,1523,Thu Mar 26 21:06:30 +0000 2009,35,,,False,True,122946,,False,False,False,444444,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1151162297668296709/MosL-F45_normal.png,https://pbs.twimg.com/profile_images/1151162297668296709/MosL-F45_normal.png,006F97,F5F5F5,F5F5F5,333333,False,False,False,False,False,False,False,none,[],"[{'url': 'http://t.co/E7h3bU6yVL', 'expanded_url': 'http://www.reuters.com', 'display_url': 'reuters.com', 'indices': [0, 22]}]",https://pbs.twimg.com/profile_banners/26851173/1561491190
Sun Mar 05 21:43:34 +0000 2023,1632497104265388038,1632497104265388038,"Stade Rennais - Olympique de Marseille
📺 Watch all the videos of this match here:
https://t.co/jtyBszteXn
#SofaScore #REN #OM",False,"[0, 125]","<a href=""https://goals.zone"" rel=""nofollow"">goals__zone</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1576286998066765827,1576286998066765827,goals.zone,goals__zone,,,,[],False,3059,17,17,Sat Oct 01 19:04:46 +0000 2022,0,,,False,False,13631,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1576287458349793282/ivy9wcCI_normal.jpg,https://pbs.twimg.com/profile_images/1576287458349793282/ivy9wcCI_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1576286998066765827/1664652398
Sun Mar 05 21:37:17 +0000 2023,1632495524128657409,1632495524128657409,"EN DIRECT HD STREAMS #SRFCOM

Rennes - OM En Direct Streaming Gratuit

🔗Live Link=&gt;https://t.co/0GODATG6Hm

Rennes - Marseille

🔗Live Link=&gt;https://t.co/0GODATG6Hm

Stade Rennais - Olympique de Marseille

🔗Live Link=&gt;https://t.co/0GODATG6Hm

Enjoy Streaming https://t.co/r7qKh5GU7g",False,"[0, 266]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1597523863885484034,1597523863885484034,ESPN USATV,EspnUsatv,,,,[],False,0,7,0,Tue Nov 29 09:32:43 +0000 2022,0,,,False,False,492,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1625522655926587392/NsxCX2Jm_normal.jpg,https://pbs.twimg.com/profile_images/1625522655926587392/NsxCX2Jm_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1597523863885484034/1676389776
Sun Mar 05 21:36:52 +0000 2023,1632495419602386944,1632495419602386944,"EN DIRECT HD STREAMS #SRFCOM

Rennes - OM En Direct Streaming Gratuit

🔗Live Link=&gt;https://t.co/DSf4vn8PzY

Rennes - Marseille

🔗Live Link=&gt;https://t.co/DSf4vn8PzY

Stade Rennais - Olympique de Marseille

🔗Live Link=&gt;https://t.co/DSf4vn8PzY

Enjoy Streaming https://t.co/xKbmWonb6k",False,"[0, 266]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1615012203392045056,1615012203392045056,Bounce TV,BounceTV8,,,,[],False,3,15,0,Mon Jan 16 15:44:56 +0000 2023,0,,,False,False,853,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1615745409464565760/4kWr_U-M_normal.jpg,https://pbs.twimg.com/profile_images/1615745409464565760/4kWr_U-M_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,https://pbs.twimg.com/profile_banners/1615012203392045056/1674058699
