id,url,place_type,name,full_name,country_code,country,contained_within,bounding_box.type,bounding_box.coordinates,tweet_id
758461cd66db17e0,https://api.twitter.com/1.1/geo/id/758461cd66db17e0.json,city,Sutton,"Sutton, London",GB,United Kingdom,[],Polygon,"[[[-0.245869, 51.330352], [-0.117306, 51.330352], [-0.117306, 51.3934428], [-0.245869, 51.3934428]]]",
25d3e991f5637f5a,https://api.twitter.com/1.1/geo/id/25d3e991f5637f5a.json,admin,South West,"South West, England",GB,United Kingdom,[],Polygon,"[[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]]",
758461cd66db17e0,https://api.twitter.com/1.1/geo/id/758461cd66db17e0.json,city,Sutton,"Sutton, London",GB,United Kingdom,[],Polygon,"[[[-0.245869, 51.330352], [-0.117306, 51.330352], [-0.117306, 51.3934428], [-0.245869, 51.3934428]]]",
25d3e991f5637f5a,https://api.twitter.com/1.1/geo/id/25d3e991f5637f5a.json,admin,South West,"South West, England",GB,United Kingdom,[],Polygon,"[[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]]",
758461cd66db17e0,https://api.twitter.com/1.1/geo/id/758461cd66db17e0.json,city,Sutton,"Sutton, London",GB,United Kingdom,[],Polygon,"[[[-0.245869, 51.330352], [-0.117306, 51.330352], [-0.117306, 51.3934428], [-0.245869, 51.3934428]]]",
25d3e991f5637f5a,https://api.twitter.com/1.1/geo/id/25d3e991f5637f5a.json,admin,South West,"South West, England",GB,United Kingdom,[],Polygon,"[[[-6.36850399906372, 49.8824720005481], [-1.48573420014269, 49.8824720005481], [-1.48573420014269, 52.1125420344225], [-6.36850399906372, 52.1125420344225]]]",
758461cd66db17e0,https://api.twitter.com/1.1/geo/id/758461cd66db17e0.json,city,Sutton,"Sutton, London",GB,United Kingdom,[],Polygon,"[[[-0.245869, 51.330352], [-0.117306, 51.330352], [-0.117306, 51.3934428], [-0.245869, 51.3934428]]]",
038247c1b5bb34c9,https://api.twitter.com/1.1/geo/id/038247c1b5bb34c9.json,city,Greenwich,"Greenwich, London",GB,United Kingdom,[],Polygon,"[[[-0.0335507, 51.436221], [0.06353, 51.436221], [0.06353, 51.506788], [-0.0335507, 51.506788]]]",
038247c1b5bb34c9,https://api.twitter.com/1.1/geo/id/038247c1b5bb34c9.json,city,Greenwich,"Greenwich, London",GB,United Kingdom,[],Polygon,"[[[-0.0335507, 51.436221], [0.06353, 51.436221], [0.06353, 51.506788], [-0.0335507, 51.506788]]]",
e444ecd51bd16ff3,https://api.twitter.com/1.1/geo/id/e444ecd51bd16ff3.json,city,Cincinnati,"Cincinnati, OH",US,United States,[],Polygon,"[[[-84.710722, 39.052962], [-84.3689026, 39.052962], [-84.3689026, 39.2211137], [-84.710722, 39.2211137]]]",
003e299707d0375b,https://api.twitter.com/1.1/geo/id/003e299707d0375b.json,city,Accra,"Accra, Ghana",GH,Ghana,[],Polygon,"[[[-0.3470252, 5.51713], [-0.0215619, 5.51713], [-0.0215619, 5.7292666], [-0.3470252, 5.7292666]]]",
208d28e57bdc12e9,https://api.twitter.com/1.1/geo/id/208d28e57bdc12e9.json,admin,Wales,"Wales, United Kingdom",GB,United Kingdom,[],Polygon,"[[[-5.35340678071236, 51.3787780012005], [-2.64982707940341, 51.3787780012005], [-2.64982707940341, 53.4300939018827], [-5.35340678071236, 53.4300939018827]]]",
07d9c93ccd082000,https://api.twitter.com/1.1/geo/id/07d9c93ccd082000.json,poi,100 Club,100 Club,GB,United Kingdom,[],Polygon,"[[[-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619]]]",
7dc5c6d3bfb10ccc,https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json,admin,Wisconsin,"Wisconsin, USA",US,United States,[],Polygon,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",
e444ecd51bd16ff3,https://api.twitter.com/1.1/geo/id/e444ecd51bd16ff3.json,city,Cincinnati,"Cincinnati, OH",US,United States,[],Polygon,"[[[-84.710722, 39.052962], [-84.3689026, 39.052962], [-84.3689026, 39.2211137], [-84.710722, 39.2211137]]]",
07d9c93ccd082000,https://api.twitter.com/1.1/geo/id/07d9c93ccd082000.json,poi,100 Club,100 Club,GB,United Kingdom,[],Polygon,"[[[-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619]]]",1.633211713234301e+18
7dc5c6d3bfb10ccc,https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json,admin,Wisconsin,"Wisconsin, USA",US,United States,[],Polygon,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",1.6331943896095416e+18
dd3b100831dd1763,https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json,city,New Orleans,"New Orleans, LA",US,United States,[],Polygon,"[[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]]",1.633299980289966e+18
07d9c93ccd082000,https://api.twitter.com/1.1/geo/id/07d9c93ccd082000.json,poi,100 Club,100 Club,GB,United Kingdom,[],Polygon,"[[[-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619]]]",1.633211713234301e+18
7dc5c6d3bfb10ccc,https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json,admin,Wisconsin,"Wisconsin, USA",US,United States,[],Polygon,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",1.6331943896095416e+18
dd3b100831dd1763,https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json,city,New Orleans,"New Orleans, LA",US,United States,[],Polygon,"[[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]]",1.633299980289966e+18
07d9c93ccd082000,https://api.twitter.com/1.1/geo/id/07d9c93ccd082000.json,poi,100 Club,100 Club,GB,United Kingdom,[],Polygon,"[[[-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619]]]",1.633211713234301e+18
7dc5c6d3bfb10ccc,https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json,admin,Wisconsin,"Wisconsin, USA",US,United States,[],Polygon,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",1.6331943896095416e+18
dd3b100831dd1763,https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json,city,New Orleans,"New Orleans, LA",US,United States,[],Polygon,"[[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]]",1.633299980289966e+18
07d9c93ccd082000,https://api.twitter.com/1.1/geo/id/07d9c93ccd082000.json,poi,100 Club,100 Club,GB,United Kingdom,[],Polygon,"[[[-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619], [-0.13524721347100369, 51.5160821993619]]]",1.633211713234301e+18
7dc5c6d3bfb10ccc,https://api.twitter.com/1.1/geo/id/7dc5c6d3bfb10ccc.json,admin,Wisconsin,"Wisconsin, USA",US,United States,[],Polygon,"[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]",1.6331943896095416e+18
